radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
    3640.457,    2730.543,       5.461,      13.582,       7.330,57823, 5369,  616.134954,  293.382023,  125.699149,    2463.885
    3645.471,    2725.529,       5.459,      13.575,       7.328,57823, 5298,  615.131011,  293.098567,  125.409565,    2461.566
    3650.486,    2720.514,       5.457,      13.568,       7.325,57823, 5228,  614.152402,  292.769778,  125.118737,    2459.112
    3655.500,    2715.500,       5.454,      13.561,       7.322,57823, 5159,  613.199130,  292.394274,  124.827461,    2456.596
    3660.514,    2710.486,       5.451,      13.555,       7.317,57823, 5090,  612.437222,  291.860047,  124.538809,    2454.077
    3665.529,    2705.471,       5.448,      13.551,       7.313,57823, 5021,  611.997289,  291.326364,  124.250785,    2451.587
    3670.543,    2700.457,       5.445,      13.547,       7.307,57823, 4954,  611.562146,  290.737046,  123.960229,    2449.139
    3675.557,    2695.443,       5.441,      13.542,       7.301,57823, 4887,  611.092302,  290.065741,  123.673664,    2446.733
    3680.571,    2690.429,       5.437,      13.537,       7.294,57823, 4821,  610.672951,  289.287366,  123.384587,    2444.363
    3685.586,    2685.414,       5.433,      13.533,       7.287,57823, 4755,  610.312862,  288.443691,  123.096111,    2442.020
    3690.600,    2680.400,       5.428,      13.527,       7.278,57823, 4690,  609.952938,  287.553878,  122.808848,    2439.696
    3695.614,    2675.386,       5.424,      13.522,       7.269,57823, 4626,  609.606500,  286.605081,  122.521357,    2437.357
    3700.629,    2670.371,       5.419,      13.519,       7.259,57823, 4562,  609.625624,  285.559855,  122.234498,    2435.052
    3705.643,    2665.357,       5.414,      13.516,       7.248,57823, 4499,  609.811057,  284.390664,  121.947802,    2432.748
    3710.657,    2660.343,       5.408,      13.514,       7.236,57823, 4436,  610.057532,  283.139036,  121.661874,    2430.425
    3715.671,    2655.329,       5.401,      13.512,       7.223,57823, 4375,  610.354363,  281.839716,  121.375681,    2428.112
    3720.686,    2650.314,       5.395,      13.510,       7.211,57823, 4313,  610.738404,  280.524350,  121.092140,    2425.792
    3725.700,    2645.300,       5.390,      13.508,       7.198,57823, 4253,  611.188559,  279.213088,  120.806425,    2423.454
    3730.714,    2640.286,       5.384,      13.507,       7.185,57823, 4193,  611.647049,  277.938950,  120.522951,    2421.116
    3735.729,    2635.271,       5.379,      13.505,       7.172,57823, 4133,  612.066726,  276.697908,  120.238057,    2418.766
    3740.743,    2630.257,       5.373,      13.504,       7.161,57823, 4074,  612.461612,  275.485514,  119.954133,    2416.407
    3745.757,    2625.243,       5.367,      13.503,       7.149,57823, 4016,  612.869366,  274.310027,  119.674260,    2414.037
    3750.771,    2620.229,       5.362,      13.502,       7.137,57823, 3958,  613.319266,  273.178494,  119.389598,    2411.655
    3755.786,    2615.214,       5.358,      13.501,       7.127,57823, 3901,  613.800049,  272.112369,  119.108466,    2409.272
    3760.800,    2610.200,       5.354,      13.500,       7.116,57823, 3845,  614.281999,  271.145890,  118.827015,    2406.867
    3765.814,    2605.186,       5.350,      13.500,       7.108,57823, 3789,  614.679024,  270.315797,  118.546973,    2404.448
    3770.829,    2600.171,       5.347,      13.500,       7.101,57823, 3734,  614.976184,  269.590152,  118.265166,    2402.045
    3775.843,    2595.157,       5.344,      13.499,       7.094,57823, 3679,  615.207162,  268.914560,  117.985399,    2399.609
    3780.857,    2590.143,       5.340,      13.499,       7.088,57823, 3625,  615.414852,  268.272310,  117.706605,    2397.185
    3785.871,    2585.129,       5.337,      13.498,       7.082,57823, 3571,  615.567275,  267.679306,  117.425775,    2394.996
    3790.886,    2580.114,       5.334,      13.495,       7.077,57823, 3518,  615.226065,  267.162091,  117.146669,    2393.066
